interview__key,encuesta,idencuesta
39-01-91-47,,
86-14-43-38,,
62-96-18-17,,
60-97-92-93,17540202043.0,
62-46-79-20,17540202103.0,
75-17-74-58,17740507032.0,
45-43-12-68,17750303072.0,
33-63-65-52,18740202032.0,
86-36-38-37,18810408012.0,
86-00-80-21,18870104092.0,
82-79-75-47,,
42-82-96-81,,
56-56-06-08,,
65-61-28-63,,
34-58-83-62,,
11-16-41-61,,
